position,id,name,location,abbreviation,gp,wins,losses,OTL,points,winPercent,ROW,goalsFor,goalsAgainst,goalDiff,home_wins,home_losses,home_OTL,away_wins,away_losses,away_OTL,shootout_wins,shootout_losses,season
15,20,Montreal Patriotes,Montreal,MTL,66,23,39,4,50,0.379,22,178,256,-78,12,19,2,11,20,2,1,2,64
16,8,Calgary Dragons,Calgary,CGY,66,23,39,4,50,0.379,21,177,252,-75,12,20,1,11,19,3,2,2,64
17,10,Minnesota Monarchs,Minnesota,MIN,66,22,43,1,45,0.341,19,143,254,-111,13,20,0,9,23,1,3,0,64
18,3,Toronto North Stars,Toronto,TOR,66,19,43,4,42,0.318,17,191,272,-81,9,22,2,10,21,2,2,4,64
19,5,New England Wolfpack,New England,NEW,66,12,49,5,29,0.220,8,128,283,-155,6,24,3,6,25,2,4,3,64
20,4,Manhattan Rage,Manhattan,MAN,66,10,55,1,21,0.159,10,124,305,-181,5,28,0,5,27,1,0,1,64
1,13,Los Angeles Panthers,Los Angeles,LAP,66,50,14,2,102,0.773,45,263,175,88,26,6,1,24,8,1,5,1,65
2,1,Chicago Syndicate,Chicago,CHI,66,47,17,2,96,0.727,45,278,173,105,25,7,1,22,10,1,2,2,65
3,12,San Francisco Pride,San Francisco,SFP,66,45,18,3,93,0.705,39,244,178,66,23,10,0,22,8,3,6,1,65
4,19,Seattle Argonauts,Seattle,SEA,66,43,19,4,90,0.682,40,266,197,69,20,9,4,23,10,0,3,4,65
5,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,44,21,1,89,0.674,44,272,178,94,24,9,0,20,12,1,0,1,65
6,0,Buffalo Stampede,Buffalo,BUF,66,42,19,5,89,0.674,39,262,185,77,26,4,3,16,15,2,3,3,65
7,7,Baltimore Platoon,Baltimore,BAP,66,43,21,2,88,0.667,39,274,207,67,23,8,2,20,13,0,4,2,65
8,11,Winnipeg Aurora,Winnipeg,WPG,66,41,19,6,88,0.667,37,246,179,67,19,10,4,22,9,2,4,5,65
9,18,Atlanta Inferno,Atlanta,ATL,66,41,20,5,87,0.659,40,291,192,99,20,10,3,21,10,2,1,3,65
10,21,Philadelphia Forge,Philadelphia,PHI,66,39,22,5,83,0.629,39,269,208,61,22,8,3,17,14,2,0,3,65
11,3,Toronto North Stars,Toronto,TOR,66,38,23,5,81,0.614,37,224,213,11,23,7,3,15,16,2,1,5,65
12,2,Hamilton Steelhawks,Hamilton,HAM,66,37,27,2,76,0.576,34,216,193,23,20,13,0,17,14,2,3,1,65
13,14,New Orleans Specters,New Orleans,NOL,66,31,29,6,68,0.515,30,202,211,-9,16,13,4,15,16,2,1,4,65
14,9,Edmonton Blizzard,Edmonton,EDM,66,28,32,6,62,0.470,24,215,251,-36,15,16,2,13,16,4,4,2,65
15,15,Texas Renegades,Texas,TEX,66,23,38,5,51,0.386,20,183,269,-86,12,17,4,11,21,1,3,5,65
16,8,Calgary Dragons,Calgary,CGY,66,17,44,5,39,0.295,16,154,286,-132,10,19,4,7,25,1,1,2,65
17,4,Manhattan Rage,Manhattan,MAN,66,17,44,5,39,0.295,13,183,279,-96,8,22,3,9,22,2,4,3,65
18,20,Montreal Patriotes,Montreal,MTL,66,16,44,6,38,0.288,14,166,273,-107,11,19,3,5,25,3,2,2,65
19,5,New England Wolfpack,New England,NEW,66,12,51,3,27,0.205,11,143,310,-167,8,23,2,4,28,1,1,0,65
20,10,Minnesota Monarchs,Minnesota,MIN,66,6,59,1,13,0.098,4,112,306,-194,2,31,0,4,28,1,2,1,65
1,18,Atlanta Inferno,Atlanta,ATL,66,50,14,2,102,0.773,48,296,163,133,29,3,1,21,11,1,2,2,66
2,1,Chicago Syndicate,Chicago,CHI,66,45,15,6,96,0.727,42,294,193,101,25,6,2,20,9,4,3,2,66
3,13,Los Angeles Panthers,Los Angeles,LAP,66,45,17,4,94,0.712,44,321,197,124,26,6,1,19,11,3,1,3,66
4,12,San Francisco Pride,San Francisco,SFP,66,43,18,5,91,0.689,40,306,204,102,27,5,1,16,13,4,3,3,66
5,14,New Orleans Specters,New Orleans,NOL,66,40,19,7,87,0.659,39,250,192,58,23,7,3,17,12,4,1,5,66
6,0,Buffalo Stampede,Buffalo,BUF,66,42,22,2,86,0.652,40,283,203,80,23,9,1,19,13,1,2,1,66
7,19,Seattle Argonauts,Seattle,SEA,66,40,20,6,86,0.652,37,253,202,51,24,7,2,16,13,4,3,2,66
8,20,Montreal Patriotes,Montreal,MTL,66,39,22,5,83,0.629,39,276,221,55,22,10,1,17,12,4,0,3,66
9,4,Manhattan Rage,Manhattan,MAN,66,38,22,6,82,0.621,36,254,208,46,24,6,3,14,16,3,2,1,66
10,3,Toronto North Stars,Toronto,TOR,66,38,26,2,78,0.591,36,260,229,31,23,10,0,15,16,2,2,2,66
11,11,Winnipeg Aurora,Winnipeg,WPG,66,38,27,1,77,0.583,34,278,241,37,22,10,1,16,17,0,4,0,66
12,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,32,25,9,73,0.553,31,281,247,34,18,11,4,14,14,5,1,2,66
13,21,Philadelphia Forge,Philadelphia,PHI,66,30,30,6,66,0.500,26,210,241,-31,18,14,1,12,16,5,4,1,66
14,8,Calgary Dragons,Calgary,CGY,66,31,32,3,65,0.492,29,224,247,-23,21,11,1,10,21,2,2,1,66
15,15,Texas Renegades,Texas,TEX,66,24,34,8,56,0.424,23,217,269,-52,12,17,4,12,17,4,1,4,66
16,2,Hamilton Steelhawks,Hamilton,HAM,66,25,36,5,55,0.417,23,256,300,-44,15,15,3,10,21,2,2,4,66
17,7,Baltimore Platoon,Baltimore,BAP,66,22,37,7,51,0.386,20,203,291,-88,16,15,2,6,22,5,2,1,66
18,5,New England Wolfpack,New England,NEW,66,22,41,3,47,0.356,20,199,293,-94,13,17,3,9,24,0,2,0,66
19,10,Minnesota Monarchs,Minnesota,MIN,66,11,52,3,25,0.189,9,160,360,-200,6,26,1,5,26,2,2,2,66
20,9,Edmonton Blizzard,Edmonton,EDM,66,5,59,2,12,0.091,5,161,481,-320,4,27,2,1,32,0,0,0,66
1,11,Winnipeg Aurora,Winnipeg,WPG,66,50,13,3,103,0.780,47,287,166,121,27,5,1,23,8,2,3,2,67
2,3,Toronto North Stars,Toronto,TOR,66,47,16,3,97,0.735,46,320,186,134,23,7,3,24,9,0,1,2,67
3,18,Atlanta Inferno,Atlanta,ATL,66,48,17,1,97,0.735,45,296,181,115,22,10,1,26,7,0,3,0,67
4,8,Calgary Dragons,Calgary,CGY,66,42,17,7,91,0.689,38,286,218,68,23,7,3,19,10,4,4,4,67
5,19,Seattle Argonauts,Seattle,SEA,66,43,19,4,90,0.682,40,281,198,83,22,8,3,21,11,1,3,1,67
6,14,New Orleans Specters,New Orleans,NOL,66,43,21,2,88,0.667,43,276,207,69,27,6,0,16,15,2,0,1,67
7,12,San Francisco Pride,San Francisco,SFP,66,41,23,2,84,0.636,38,260,211,49,25,7,1,16,16,1,3,1,67
8,21,Philadelphia Forge,Philadelphia,PHI,66,37,24,5,79,0.598,34,254,201,53,22,9,2,15,15,3,3,4,67
9,4,Manhattan Rage,Manhattan,MAN,66,36,23,7,79,0.598,34,256,219,37,18,11,4,18,12,3,2,4,67
10,13,Los Angeles Panthers,Los Angeles,LAP,66,38,26,2,78,0.591,32,253,240,13,20,12,1,18,14,1,6,2,67
11,1,Chicago Syndicate,Chicago,CHI,66,34,23,9,77,0.583,31,240,200,40,23,5,5,11,18,4,3,3,67
12,0,Buffalo Stampede,Buffalo,BUF,66,35,27,4,74,0.561,35,275,224,51,21,10,2,14,17,2,0,1,67
13,20,Montreal Patriotes,Montreal,MTL,66,34,27,5,73,0.553,33,278,234,44,22,9,2,12,18,3,1,3,67
14,5,New England Wolfpack,New England,NEW,66,30,35,1,61,0.462,27,201,255,-54,18,14,1,12,21,0,3,1,67
15,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,26,33,7,59,0.447,24,247,269,-22,16,14,3,10,19,4,2,5,67
16,9,Edmonton Blizzard,Edmonton,EDM,66,19,38,9,47,0.356,17,176,276,-100,12,16,5,7,22,4,2,5,67
17,15,Texas Renegades,Texas,TEX,66,20,44,2,42,0.318,18,187,299,-112,15,16,2,5,28,0,2,2,67
18,7,Baltimore Platoon,Baltimore,BAP,66,19,45,2,40,0.303,17,189,309,-120,10,21,2,9,24,0,2,0,67
19,2,Hamilton Steelhawks,Hamilton,HAM,66,10,51,5,25,0.189,9,149,410,-261,7,24,2,3,27,3,1,2,67
20,10,Minnesota Monarchs,Minnesota,MIN,66,8,52,6,22,0.167,7,102,310,-208,4,28,1,4,24,5,1,2,67
1,19,Seattle Argonauts,Seattle,SEA,66,54,9,3,111,0.841,53,318,150,168,28,4,1,26,5,2,1,2,68
2,11,Winnipeg Aurora,Winnipeg,WPG,66,54,10,2,110,0.833,53,305,150,155,27,5,1,27,5,1,1,2,68
3,18,Atlanta Inferno,Atlanta,ATL,66,51,13,2,104,0.788,50,274,159,115,29,3,1,22,10,1,1,2,68
4,3,Toronto North Stars,Toronto,TOR,66,46,16,4,96,0.727,40,342,238,104,25,7,1,21,9,3,6,1,68
5,0,Buffalo Stampede,Buffalo,BUF,66,45,19,2,92,0.697,43,307,207,100,25,8,0,20,11,2,2,2,68
6,1,Chicago Syndicate,Chicago,CHI,66,44,18,4,92,0.697,40,290,199,91,22,8,3,22,10,1,4,1,68
7,21,Philadelphia Forge,Philadelphia,PHI,66,44,20,2,90,0.682,43,293,198,95,25,8,0,19,12,2,1,0,68
8,20,Montreal Patriotes,Montreal,MTL,66,40,19,7,87,0.659,37,269,211,58,25,4,4,15,15,3,3,2,68
9,4,Manhattan Rage,Manhattan,MAN,66,40,22,4,84,0.636,37,284,236,48,24,8,1,16,14,3,3,3,68
10,8,Calgary Dragons,Calgary,CGY,66,37,21,8,82,0.621,34,259,210,49,22,9,2,15,12,6,3,3,68
11,14,New Orleans Specters,New Orleans,NOL,66,32,29,5,69,0.523,29,189,197,-8,17,14,2,15,15,3,3,3,68
12,5,New England Wolfpack,New England,NEW,66,30,28,8,68,0.515,29,263,248,15,21,11,1,9,17,7,1,3,68
13,9,Edmonton Blizzard,Edmonton,EDM,66,30,31,5,65,0.492,28,192,226,-34,20,10,3,10,21,2,2,2,68
14,7,Baltimore Platoon,Baltimore,BAP,66,19,40,7,45,0.341,17,177,283,-106,12,15,6,7,25,1,2,3,68
15,15,Texas Renegades,Texas,TEX,66,18,44,4,40,0.303,16,170,299,-129,11,20,2,7,24,2,2,2,68
16,13,Los Angeles Panthers,Los Angeles,LAP,66,16,44,6,38,0.288,15,195,282,-87,11,17,5,5,27,1,1,4,68
17,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,16,45,5,37,0.280,15,192,325,-133,10,20,3,6,25,2,1,1,68
18,10,Minnesota Monarchs,Minnesota,MIN,66,15,47,4,34,0.258,14,156,294,-138,7,23,3,8,24,1,1,2,68
19,12,San Francisco Pride,San Francisco,SFP,66,15,47,4,34,0.258,12,177,343,-166,10,22,1,5,25,3,3,3,68
20,2,Hamilton Steelhawks,Hamilton,HAM,66,14,50,2,30,0.227,12,176,373,-197,8,24,1,6,26,1,2,2,68
1,11,Winnipeg Aurora,Winnipeg,WPG,66,52,12,2,106,0.803,50,304,171,133,30,3,0,22,9,2,2,1,69
2,19,Seattle Argonauts,Seattle,SEA,66,50,13,3,103,0.780,48,295,148,147,27,4,2,23,9,1,2,2,69
3,20,Montreal Patriotes,Montreal,MTL,66,50,15,1,101,0.765,49,299,169,130,25,7,1,25,8,0,1,0,69
4,18,Atlanta Inferno,Atlanta,ATL,66,46,16,4,96,0.727,46,292,203,89,24,7,2,22,9,2,0,2,69
5,21,Philadelphia Forge,Philadelphia,PHI,66,45,16,5,95,0.720,42,297,188,109,24,9,0,21,7,5,3,3,69
6,5,New England Wolfpack,New England,NEW,66,45,17,4,94,0.712,44,283,178,105,24,8,1,21,9,3,1,2,69
7,0,Buffalo Stampede,Buffalo,BUF,66,44,19,3,91,0.689,44,289,190,99,25,6,2,19,13,1,0,3,69
8,8,Calgary Dragons,Calgary,CGY,66,43,19,4,90,0.682,41,264,198,66,22,8,3,21,11,1,2,1,69
9,1,Chicago Syndicate,Chicago,CHI,66,43,19,4,90,0.682,40,301,197,104,24,7,2,19,12,2,3,3,69
10,14,New Orleans Specters,New Orleans,NOL,66,42,22,2,86,0.652,37,268,213,55,23,9,1,19,13,1,5,0,69
11,4,Manhattan Rage,Manhattan,MAN,66,39,20,7,85,0.644,37,269,190,79,23,7,3,16,13,4,2,4,69
12,9,Edmonton Blizzard,Edmonton,EDM,66,32,27,7,71,0.538,31,240,227,13,18,12,3,14,15,4,1,3,69
13,15,Texas Renegades,Texas,TEX,66,23,38,5,51,0.386,19,188,287,-99,14,16,3,9,22,2,4,2,69
14,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,19,39,8,46,0.348,15,177,287,-110,12,17,4,7,22,4,4,2,69
15,10,Minnesota Monarchs,Minnesota,MIN,66,17,45,4,38,0.288,16,164,316,-152,10,22,1,7,23,3,1,2,69
16,13,Los Angeles Panthers,Los Angeles,LAP,66,17,48,1,35,0.265,15,158,266,-108,9,24,0,8,24,1,2,0,69
17,2,Hamilton Steelhawks,Hamilton,HAM,66,15,48,3,33,0.250,15,172,329,-157,9,21,3,6,27,0,0,0,69
18,12,San Francisco Pride,San Francisco,SFP,66,13,48,5,31,0.235,13,196,356,-160,9,20,4,4,28,1,0,2,69
19,3,Toronto North Stars,Toronto,TOR,66,13,50,3,29,0.220,11,127,319,-192,7,23,3,6,27,0,2,3,69
20,7,Baltimore Platoon,Baltimore,BAP,66,12,50,4,28,0.212,11,146,297,-151,9,23,1,3,27,3,1,1,69
1,21,Philadelphia Forge,Philadelphia,PHI,66,57,8,1,115,0.871,54,369,176,193,28,5,0,29,3,1,3,1,70
2,11,Winnipeg Aurora,Winnipeg,WPG,66,53,11,2,108,0.818,53,386,194,192,27,5,1,26,6,1,0,1,70
3,19,Seattle Argonauts,Seattle,SEA,66,46,14,6,98,0.742,45,268,180,88,25,5,3,21,9,3,1,3,70
4,20,Montreal Patriotes,Montreal,MTL,66,46,17,3,95,0.720,46,295,194,101,24,7,2,22,10,1,0,2,70
5,18,Atlanta Inferno,Atlanta,ATL,66,47,19,0,94,0.712,46,336,199,137,23,10,0,24,9,0,1,0,70
6,5,New England Wolfpack,New England,NEW,66,41,19,6,88,0.667,39,306,229,77,19,9,5,22,10,1,2,3,70
7,8,Calgary Dragons,Calgary,CGY,66,41,23,2,84,0.636,40,268,203,65,21,12,0,20,11,2,1,0,70
8,1,Chicago Syndicate,Chicago,CHI,66,39,23,4,82,0.621,34,254,217,37,21,11,1,18,12,3,5,1,70
9,0,Buffalo Stampede,Buffalo,BUF,66,37,24,5,79,0.598,37,291,219,72,20,10,3,17,14,2,0,2,70
10,14,New Orleans Specters,New Orleans,NOL,66,35,25,6,76,0.576,30,255,231,24,21,9,3,14,16,3,5,3,70
11,9,Edmonton Blizzard,Edmonton,EDM,66,36,28,2,74,0.561,34,281,243,38,21,12,0,15,16,2,2,0,70
12,15,Texas Renegades,Texas,TEX,66,30,33,3,63,0.477,29,222,264,-42,18,14,1,12,19,2,1,0,70
13,2,Hamilton Steelhawks,Hamilton,HAM,66,26,35,5,57,0.432,25,237,311,-74,12,16,5,14,19,0,1,2,70
14,7,Baltimore Platoon,Baltimore,BAP,66,25,37,4,54,0.409,22,197,278,-81,13,18,2,12,19,2,3,4,70
15,10,Minnesota Monarchs,Minnesota,MIN,66,23,39,4,50,0.379,23,222,303,-81,15,17,1,8,22,3,0,2,70
16,4,Manhattan Rage,Manhattan,MAN,66,20,43,3,43,0.326,20,245,363,-118,10,20,3,10,23,0,0,0,70
17,12,San Francisco Pride,San Francisco,SFP,66,21,45,0,42,0.318,19,195,297,-102,14,19,0,7,26,0,2,0,70
18,13,Los Angeles Panthers,Los Angeles,LAP,66,17,41,8,42,0.318,17,204,334,-130,9,22,2,8,19,6,0,3,70
19,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,14,51,1,29,0.220,13,173,333,-160,8,25,0,6,26,1,1,0,70
20,3,Toronto North Stars,Toronto,TOR,66,6,57,3,15,0.114,6,148,384,-236,4,27,2,2,30,1,0,1,70
1,11,Winnipeg Aurora,Winnipeg,WPG,66,54,9,3,111,0.841,52,355,184,171,28,4,1,26,5,2,2,2,71
2,5,New England Wolfpack,New England,NEW,66,50,13,3,103,0.780,50,339,179,160,26,5,2,24,8,1,0,2,71
3,20,Montreal Patriotes,Montreal,MTL,66,50,15,1,101,0.765,48,310,178,132,27,5,1,23,10,0,2,0,71
4,21,Philadelphia Forge,Philadelphia,PHI,66,48,17,1,97,0.735,46,362,210,152,27,6,0,21,11,1,2,1,71
5,0,Buffalo Stampede,Buffalo,BUF,66,45,17,4,94,0.712,44,297,201,96,27,5,1,18,12,3,1,0,71
6,9,Edmonton Blizzard,Edmonton,EDM,66,44,19,3,91,0.689,44,326,205,121,25,7,1,19,12,2,0,0,71
7,18,Atlanta Inferno,Atlanta,ATL,66,41,22,3,85,0.644,38,269,217,52,23,8,2,18,14,1,3,3,71
8,1,Chicago Syndicate,Chicago,CHI,66,36,25,5,77,0.583,35,285,255,30,22,7,4,14,18,1,1,3,71
9,14,New Orleans Specters,New Orleans,NOL,66,37,26,3,77,0.583,34,240,216,24,23,9,1,14,17,2,3,2,71
10,7,Baltimore Platoon,Baltimore,BAP,66,35,26,5,75,0.568,33,272,267,5,20,11,2,15,15,3,2,3,71
11,2,Hamilton Steelhawks,Hamilton,HAM,66,33,31,2,68,0.515,31,269,294,-25,17,15,1,16,16,1,2,1,71
12,13,Los Angeles Panthers,Los Angeles,LAP,66,30,33,3,63,0.477,28,222,280,-58,17,15,1,13,18,2,2,3,71
13,15,Texas Renegades,Texas,TEX,66,29,32,5,63,0.477,28,214,240,-26,17,14,2,12,18,3,1,1,71
14,19,Seattle Argonauts,Seattle,SEA,66,25,33,8,58,0.439,24,207,245,-38,15,14,4,10,19,4,1,4,71
15,12,San Francisco Pride,San Francisco,SFP,66,23,34,9,55,0.417,21,234,277,-43,16,13,4,7,21,5,2,4,71
16,10,Minnesota Monarchs,Minnesota,MIN,66,25,37,4,54,0.409,22,214,281,-67,16,17,0,9,20,4,3,2,71
17,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,21,39,6,48,0.364,19,193,290,-97,14,18,1,7,21,5,2,2,71
18,8,Calgary Dragons,Calgary,CGY,66,20,43,3,43,0.326,16,207,301,-94,11,22,0,9,21,3,4,1,71
19,3,Toronto North Stars,Toronto,TOR,66,10,56,0,20,0.152,9,151,384,-233,6,27,0,4,29,0,1,0,71
20,4,Manhattan Rage,Manhattan,MAN,66,4,58,4,12,0.091,3,154,416,-262,4,29,0,0,29,4,1,1,71
1,5,New England Wolfpack,New England,NEW,66,51,15,0,102,0.773,51,364,216,148,28,5,0,23,10,0,0,0,72
2,11,Winnipeg Aurora,Winnipeg,WPG,66,46,17,3,95,0.720,46,343,213,130,32,1,0,14,16,3,0,2,72
3,1,Chicago Syndicate,Chicago,CHI,66,47,18,1,95,0.720,44,329,215,114,28,5,0,19,13,1,3,0,72
4,9,Edmonton Blizzard,Edmonton,EDM,66,46,18,2,94,0.712,45,340,215,125,26,6,1,20,12,1,1,0,72
5,20,Montreal Patriotes,Montreal,MTL,66,45,18,3,93,0.705,42,304,200,104,24,9,0,21,9,3,3,2,72
6,21,Philadelphia Forge,Philadelphia,PHI,66,43,16,7,93,0.705,42,332,207,125,25,6,2,18,10,5,1,4,72
7,0,Buffalo Stampede,Buffalo,BUF,66,43,21,2,88,0.667,41,302,240,62,22,11,0,21,10,2,2,1,72
8,15,Texas Renegades,Texas,TEX,66,41,19,6,88,0.667,39,260,219,41,27,5,1,14,14,5,2,4,72
9,18,Atlanta Inferno,Atlanta,ATL,66,39,23,4,82,0.621,38,279,201,78,19,12,2,20,11,2,1,2,72
10,7,Baltimore Platoon,Baltimore,BAP,66,36,26,4,76,0.576,33,271,264,7,23,9,1,13,17,3,3,3,72
11,13,Los Angeles Panthers,Los Angeles,LAP,66,35,29,2,72,0.545,34,249,249,0,21,10,2,14,19,0,1,2,72
12,2,Hamilton Steelhawks,Hamilton,HAM,66,31,31,4,66,0.500,29,296,306,-10,20,12,1,11,19,3,2,2,72
13,12,San Francisco Pride,San Francisco,SFP,66,24,36,6,54,0.409,24,263,313,-50,17,14,2,7,22,4,0,1,72
14,19,Seattle Argonauts,Seattle,SEA,66,26,38,2,54,0.409,23,188,278,-90,18,14,1,8,24,1,3,0,72
15,14,New Orleans Specters,New Orleans,NOL,66,23,40,3,49,0.371,20,203,274,-71,13,19,1,10,21,2,3,0,72
16,8,Calgary Dragons,Calgary,CGY,66,20,39,7,47,0.356,20,200,306,-106,14,15,4,6,24,3,0,2,72
17,10,Minnesota Monarchs,Minnesota,MIN,66,22,43,1,45,0.341,21,212,287,-75,14,19,0,8,24,1,1,0,72
18,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,20,42,4,44,0.333,20,231,307,-76,11,19,3,9,23,1,0,1,72
19,3,Toronto North Stars,Toronto,TOR,66,14,48,4,32,0.242,12,189,358,-169,8,23,2,6,25,2,2,3,72
20,4,Manhattan Rage,Manhattan,MAN,66,8,56,2,18,0.136,7,132,419,-287,5,28,0,3,28,2,1,0,72
1,5,New England Wolfpack,New England,NEW,66,53,11,2,108,0.818,51,377,173,204,28,4,1,25,7,1,2,1,73
2,21,Philadelphia Forge,Philadelphia,PHI,66,50,14,2,102,0.773,49,365,212,153,26,7,0,24,7,2,1,1,73
3,9,Edmonton Blizzard,Edmonton,EDM,66,50,15,1,101,0.765,50,395,188,207,28,5,0,22,10,1,0,0,73
4,0,Buffalo Stampede,Buffalo,BUF,66,47,15,4,98,0.742,46,303,211,92,26,6,1,21,9,3,1,2,73
5,11,Winnipeg Aurora,Winnipeg,WPG,66,48,17,1,97,0.735,47,355,202,153,25,8,0,23,9,1,1,1,73
6,18,Atlanta Inferno,Atlanta,ATL,66,45,21,0,90,0.682,45,341,227,114,26,7,0,19,14,0,0,0,73
7,7,Baltimore Platoon,Baltimore,BAP,66,37,25,4,78,0.591,36,292,245,47,21,10,2,16,15,2,1,4,73
8,2,Hamilton Steelhawks,Hamilton,HAM,66,37,26,3,77,0.583,36,320,273,47,19,13,1,18,13,2,1,0,73
9,15,Texas Renegades,Texas,TEX,66,35,26,5,75,0.568,34,268,250,18,22,8,3,13,18,2,1,2,73
10,13,Los Angeles Panthers,Los Angeles,LAP,66,36,28,2,74,0.561,34,283,251,32,22,10,1,14,18,1,2,1,73
11,1,Chicago Syndicate,Chicago,CHI,66,33,29,4,70,0.530,32,275,253,22,20,11,2,13,18,2,1,1,73
12,10,Minnesota Monarchs,Minnesota,MIN,66,33,30,3,69,0.523,31,284,281,3,19,13,1,14,17,2,2,0,73
13,14,New Orleans Specters,New Orleans,NOL,66,28,33,5,61,0.462,28,226,265,-39,15,16,2,13,17,3,0,1,73
14,12,San Francisco Pride,San Francisco,SFP,66,24,37,5,53,0.402,23,246,343,-97,16,14,3,8,23,2,1,1,73
15,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,25,40,1,51,0.386,25,227,323,-96,13,19,1,12,21,0,0,1,73
16,3,Toronto North Stars,Toronto,TOR,66,22,39,5,49,0.371,20,222,332,-110,11,20,2,11,19,3,2,2,73
17,8,Calgary Dragons,Calgary,CGY,66,22,41,3,47,0.356,21,203,334,-131,12,18,3,10,23,0,1,3,73
18,19,Seattle Argonauts,Seattle,SEA,66,15,48,3,33,0.250,13,162,312,-150,10,22,1,5,26,2,2,1,73
19,20,Montreal Patriotes,Montreal,MTL,66,10,54,2,22,0.167,9,130,341,-211,6,26,1,4,28,1,1,1,73
20,4,Manhattan Rage,Manhattan,MAN,66,10,55,1,21,0.159,7,184,442,-258,7,26,0,3,29,1,3,0,73
1,9,Edmonton Blizzard,Edmonton,EDM,66,52,13,1,105,0.795,51,381,188,193,29,3,1,23,10,0,1,0,74
2,0,Buffalo Stampede,Buffalo,BUF,66,46,16,4,96,0.727,42,339,206,133,27,3,3,19,13,1,4,1,74
3,21,Philadelphia Forge,Philadelphia,PHI,66,44,17,5,93,0.705,42,346,204,142,26,6,1,18,11,4,2,4,74
4,18,Atlanta Inferno,Atlanta,ATL,66,42,19,5,89,0.674,41,334,237,97,23,6,4,19,13,1,1,0,74
5,7,Baltimore Platoon,Baltimore,BAP,66,41,18,7,89,0.674,38,318,222,96,22,8,3,19,10,4,3,3,74
6,15,Texas Renegades,Texas,TEX,66,41,20,5,87,0.659,40,277,201,76,23,8,2,18,12,3,1,3,74
7,1,Chicago Syndicate,Chicago,CHI,66,41,23,2,84,0.636,38,274,256,18,23,8,2,18,15,0,3,0,74
8,13,Los Angeles Panthers,Los Angeles,LAP,66,40,22,4,84,0.636,38,330,253,77,25,6,2,15,16,2,2,3,74
9,5,New England Wolfpack,New England,NEW,66,40,22,4,84,0.636,38,314,243,71,24,9,0,16,13,4,2,2,74
10,11,Winnipeg Aurora,Winnipeg,WPG,66,38,24,4,80,0.606,34,289,223,66,24,7,2,14,17,2,4,2,74
11,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,36,27,3,75,0.568,33,304,287,17,20,11,2,16,16,1,3,2,74
12,14,New Orleans Specters,New Orleans,NOL,66,34,27,5,73,0.553,33,263,255,8,18,10,5,16,17,0,1,3,74
13,2,Hamilton Steelhawks,Hamilton,HAM,66,32,28,6,70,0.530,31,310,294,16,16,13,4,16,15,2,1,2,74
14,12,San Francisco Pride,San Francisco,SFP,66,31,30,5,67,0.508,30,286,262,24,21,9,3,10,21,2,1,2,74
15,3,Toronto North Stars,Toronto,TOR,66,30,33,3,63,0.477,29,283,341,-58,14,17,2,16,16,1,1,1,74
16,10,Minnesota Monarchs,Minnesota,MIN,66,27,36,3,57,0.432,26,287,290,-3,18,14,1,9,22,2,1,1,74
17,8,Calgary Dragons,Calgary,CGY,66,24,40,2,50,0.379,23,225,328,-103,18,15,0,6,25,2,1,1,74
18,4,Manhattan Rage,Manhattan,MAN,66,10,55,1,21,0.159,9,187,475,-288,6,26,1,4,29,0,1,0,74
19,19,Seattle Argonauts,Seattle,SEA,66,7,57,2,16,0.121,6,119,352,-233,5,27,1,2,30,1,1,2,74
20,20,Montreal Patriotes,Montreal,MTL,66,4,59,3,11,0.083,4,125,474,-349,3,29,1,1,30,2,0,2,74
1,9,Edmonton Blizzard,Edmonton,EDM,66,49,16,1,99,0.750,47,357,201,156,27,5,1,22,11,0,2,1,75
2,13,Los Angeles Panthers,Los Angeles,LAP,66,46,18,2,94,0.712,46,332,247,85,23,8,2,23,10,0,0,0,75
3,21,Philadelphia Forge,Philadelphia,PHI,66,45,17,4,94,0.712,45,362,225,137,25,8,0,20,9,4,0,2,75
4,15,Texas Renegades,Texas,TEX,66,45,17,4,94,0.712,44,292,190,102,26,7,0,19,10,4,1,1,75
5,7,Baltimore Platoon,Baltimore,BAP,66,43,19,4,90,0.682,42,324,238,86,25,7,1,18,12,3,1,0,75
6,5,New England Wolfpack,New England,NEW,66,42,22,2,86,0.652,41,339,252,87,24,7,2,18,15,0,1,1,75
7,11,Winnipeg Aurora,Winnipeg,WPG,66,41,22,3,85,0.644,39,262,198,64,23,8,2,18,14,1,2,1,75
8,0,Buffalo Stampede,Buffalo,BUF,66,40,23,3,83,0.629,39,290,219,71,21,11,1,19,12,2,1,0,75
9,2,Hamilton Steelhawks,Hamilton,HAM,66,39,22,5,83,0.629,38,328,262,66,25,7,1,14,15,4,1,2,75
10,18,Atlanta Inferno,Atlanta,ATL,66,38,24,4,80,0.606,38,298,251,47,23,8,2,15,16,2,0,1,75
